specimen_id,printer,print_purpose,direction,input_angle_deg,force_N,pull_angle_from_lever_deg,lever_radius_mm,repeat,notes
,kobra2_neo,data,loading,79.01,,90,24.00,1,
,kobra2_neo,data,loading,81.76,,90,24.00,1,
,kobra2_neo,data,loading,84.51,,90,24.00,1,
,kobra2_neo,data,loading,87.25,,90,24.00,1,
,kobra2_neo,data,loading,90.00,,90,24.00,1,
,kobra2_neo,data,loading,92.75,,90,24.00,1,
,kobra2_neo,data,loading,95.49,,90,24.00,1,
,kobra2_neo,data,loading,98.24,,90,24.00,1,
,kobra2_neo,data,loading,100.99,,90,24.00,1,
,kobra2_neo,data,unloading,100.99,,90,24.00,1,
,kobra2_neo,data,unloading,98.24,,90,24.00,1,
,kobra2_neo,data,unloading,95.49,,90,24.00,1,
,kobra2_neo,data,unloading,92.75,,90,24.00,1,
,kobra2_neo,data,unloading,90.00,,90,24.00,1,
,kobra2_neo,data,unloading,87.25,,90,24.00,1,
,kobra2_neo,data,unloading,84.51,,90,24.00,1,
,kobra2_neo,data,unloading,81.76,,90,24.00,1,
,kobra2_neo,data,unloading,79.01,,90,24.00,1,
,kobra2_neo,data,loading,79.01,,90,24.00,2,
,kobra2_neo,data,loading,81.76,,90,24.00,2,
,kobra2_neo,data,loading,84.51,,90,24.00,2,
,kobra2_neo,data,loading,87.25,,90,24.00,2,
,kobra2_neo,data,loading,90.00,,90,24.00,2,
,kobra2_neo,data,loading,92.75,,90,24.00,2,
,kobra2_neo,data,loading,95.49,,90,24.00,2,
,kobra2_neo,data,loading,98.24,,90,24.00,2,
,kobra2_neo,data,loading,100.99,,90,24.00,2,
,kobra2_neo,data,unloading,100.99,,90,24.00,2,
,kobra2_neo,data,unloading,98.24,,90,24.00,2,
,kobra2_neo,data,unloading,95.49,,90,24.00,2,
,kobra2_neo,data,unloading,92.75,,90,24.00,2,
,kobra2_neo,data,unloading,90.00,,90,24.00,2,
,kobra2_neo,data,unloading,87.25,,90,24.00,2,
,kobra2_neo,data,unloading,84.51,,90,24.00,2,
,kobra2_neo,data,unloading,81.76,,90,24.00,2,
,kobra2_neo,data,unloading,79.01,,90,24.00,2,
,kobra2_neo,data,loading,79.01,,90,24.00,3,
,kobra2_neo,data,loading,81.76,,90,24.00,3,
,kobra2_neo,data,loading,84.51,,90,24.00,3,
,kobra2_neo,data,loading,87.25,,90,24.00,3,
,kobra2_neo,data,loading,90.00,,90,24.00,3,
,kobra2_neo,data,loading,92.75,,90,24.00,3,
,kobra2_neo,data,loading,95.49,,90,24.00,3,
,kobra2_neo,data,loading,98.24,,90,24.00,3,
,kobra2_neo,data,loading,100.99,,90,24.00,3,
,kobra2_neo,data,unloading,100.99,,90,24.00,3,
,kobra2_neo,data,unloading,98.24,,90,24.00,3,
,kobra2_neo,data,unloading,95.49,,90,24.00,3,
,kobra2_neo,data,unloading,92.75,,90,24.00,3,
,kobra2_neo,data,unloading,90.00,,90,24.00,3,
,kobra2_neo,data,unloading,87.25,,90,24.00,3,
,kobra2_neo,data,unloading,84.51,,90,24.00,3,
,kobra2_neo,data,unloading,81.76,,90,24.00,3,
,kobra2_neo,data,unloading,79.01,,90,24.00,3,

# MODE B, spring scale. Backup rig: no pulley needed, but the pull is
# horizontal while the scale weighs vertically, so it is awkward in-plane
# and less repeatable than the dead-weight rig. Prefer mode A.
# T = F * r * sin(pull_angle_from_lever_deg); pull perpendicular if you can.
# The loading/unloading gap is hysteresis plus any rig friction.
