specimen_id,printer,print_purpose,direction,input_angle_deg,force_N,pull_angle_from_lever_deg,lever_radius_mm,repeat,notes
,kobra2_neo,data,loading,48.89,,90,36.00,1,
,kobra2_neo,data,loading,51.61,,90,36.00,1,
,kobra2_neo,data,loading,54.32,,90,36.00,1,
,kobra2_neo,data,loading,57.04,,90,36.00,1,
,kobra2_neo,data,loading,59.75,,90,36.00,1,
,kobra2_neo,data,loading,62.46,,90,36.00,1,
,kobra2_neo,data,loading,65.18,,90,36.00,1,
,kobra2_neo,data,loading,67.89,,90,36.00,1,
,kobra2_neo,data,loading,70.60,,90,36.00,1,
,kobra2_neo,data,unloading,70.60,,90,36.00,1,
,kobra2_neo,data,unloading,67.89,,90,36.00,1,
,kobra2_neo,data,unloading,65.18,,90,36.00,1,
,kobra2_neo,data,unloading,62.46,,90,36.00,1,
,kobra2_neo,data,unloading,59.75,,90,36.00,1,
,kobra2_neo,data,unloading,57.04,,90,36.00,1,
,kobra2_neo,data,unloading,54.32,,90,36.00,1,
,kobra2_neo,data,unloading,51.61,,90,36.00,1,
,kobra2_neo,data,unloading,48.89,,90,36.00,1,
,kobra2_neo,data,loading,48.89,,90,36.00,2,
,kobra2_neo,data,loading,51.61,,90,36.00,2,
,kobra2_neo,data,loading,54.32,,90,36.00,2,
,kobra2_neo,data,loading,57.04,,90,36.00,2,
,kobra2_neo,data,loading,59.75,,90,36.00,2,
,kobra2_neo,data,loading,62.46,,90,36.00,2,
,kobra2_neo,data,loading,65.18,,90,36.00,2,
,kobra2_neo,data,loading,67.89,,90,36.00,2,
,kobra2_neo,data,loading,70.60,,90,36.00,2,
,kobra2_neo,data,unloading,70.60,,90,36.00,2,
,kobra2_neo,data,unloading,67.89,,90,36.00,2,
,kobra2_neo,data,unloading,65.18,,90,36.00,2,
,kobra2_neo,data,unloading,62.46,,90,36.00,2,
,kobra2_neo,data,unloading,59.75,,90,36.00,2,
,kobra2_neo,data,unloading,57.04,,90,36.00,2,
,kobra2_neo,data,unloading,54.32,,90,36.00,2,
,kobra2_neo,data,unloading,51.61,,90,36.00,2,
,kobra2_neo,data,unloading,48.89,,90,36.00,2,
,kobra2_neo,data,loading,48.89,,90,36.00,3,
,kobra2_neo,data,loading,51.61,,90,36.00,3,
,kobra2_neo,data,loading,54.32,,90,36.00,3,
,kobra2_neo,data,loading,57.04,,90,36.00,3,
,kobra2_neo,data,loading,59.75,,90,36.00,3,
,kobra2_neo,data,loading,62.46,,90,36.00,3,
,kobra2_neo,data,loading,65.18,,90,36.00,3,
,kobra2_neo,data,loading,67.89,,90,36.00,3,
,kobra2_neo,data,loading,70.60,,90,36.00,3,
,kobra2_neo,data,unloading,70.60,,90,36.00,3,
,kobra2_neo,data,unloading,67.89,,90,36.00,3,
,kobra2_neo,data,unloading,65.18,,90,36.00,3,
,kobra2_neo,data,unloading,62.46,,90,36.00,3,
,kobra2_neo,data,unloading,59.75,,90,36.00,3,
,kobra2_neo,data,unloading,57.04,,90,36.00,3,
,kobra2_neo,data,unloading,54.32,,90,36.00,3,
,kobra2_neo,data,unloading,51.61,,90,36.00,3,
,kobra2_neo,data,unloading,48.89,,90,36.00,3,

# T = F * r * sin(pull_angle_from_lever_deg); pull perpendicular if you can
# record loading and unloading separately: the gap between them is hysteresis
# let the reading settle for a stated time at each angle -- PLA creeps
# print_purpose: trial while settings are still moving, data once frozen
