specimen_id,printer,print_purpose,direction,input_angle_deg,force_N,pull_angle_from_lever_deg,lever_radius_mm,repeat,notes
,kobra2_neo,data,loading,61.15,,90,36.00,1,
,kobra2_neo,data,loading,63.57,,90,36.00,1,
,kobra2_neo,data,loading,65.98,,90,36.00,1,
,kobra2_neo,data,loading,68.40,,90,36.00,1,
,kobra2_neo,data,loading,70.82,,90,36.00,1,
,kobra2_neo,data,loading,73.24,,90,36.00,1,
,kobra2_neo,data,loading,75.66,,90,36.00,1,
,kobra2_neo,data,loading,78.07,,90,36.00,1,
,kobra2_neo,data,loading,80.49,,90,36.00,1,
,kobra2_neo,data,unloading,80.49,,90,36.00,1,
,kobra2_neo,data,unloading,78.07,,90,36.00,1,
,kobra2_neo,data,unloading,75.66,,90,36.00,1,
,kobra2_neo,data,unloading,73.24,,90,36.00,1,
,kobra2_neo,data,unloading,70.82,,90,36.00,1,
,kobra2_neo,data,unloading,68.40,,90,36.00,1,
,kobra2_neo,data,unloading,65.98,,90,36.00,1,
,kobra2_neo,data,unloading,63.57,,90,36.00,1,
,kobra2_neo,data,unloading,61.15,,90,36.00,1,
,kobra2_neo,data,loading,61.15,,90,36.00,2,
,kobra2_neo,data,loading,63.57,,90,36.00,2,
,kobra2_neo,data,loading,65.98,,90,36.00,2,
,kobra2_neo,data,loading,68.40,,90,36.00,2,
,kobra2_neo,data,loading,70.82,,90,36.00,2,
,kobra2_neo,data,loading,73.24,,90,36.00,2,
,kobra2_neo,data,loading,75.66,,90,36.00,2,
,kobra2_neo,data,loading,78.07,,90,36.00,2,
,kobra2_neo,data,loading,80.49,,90,36.00,2,
,kobra2_neo,data,unloading,80.49,,90,36.00,2,
,kobra2_neo,data,unloading,78.07,,90,36.00,2,
,kobra2_neo,data,unloading,75.66,,90,36.00,2,
,kobra2_neo,data,unloading,73.24,,90,36.00,2,
,kobra2_neo,data,unloading,70.82,,90,36.00,2,
,kobra2_neo,data,unloading,68.40,,90,36.00,2,
,kobra2_neo,data,unloading,65.98,,90,36.00,2,
,kobra2_neo,data,unloading,63.57,,90,36.00,2,
,kobra2_neo,data,unloading,61.15,,90,36.00,2,
,kobra2_neo,data,loading,61.15,,90,36.00,3,
,kobra2_neo,data,loading,63.57,,90,36.00,3,
,kobra2_neo,data,loading,65.98,,90,36.00,3,
,kobra2_neo,data,loading,68.40,,90,36.00,3,
,kobra2_neo,data,loading,70.82,,90,36.00,3,
,kobra2_neo,data,loading,73.24,,90,36.00,3,
,kobra2_neo,data,loading,75.66,,90,36.00,3,
,kobra2_neo,data,loading,78.07,,90,36.00,3,
,kobra2_neo,data,loading,80.49,,90,36.00,3,
,kobra2_neo,data,unloading,80.49,,90,36.00,3,
,kobra2_neo,data,unloading,78.07,,90,36.00,3,
,kobra2_neo,data,unloading,75.66,,90,36.00,3,
,kobra2_neo,data,unloading,73.24,,90,36.00,3,
,kobra2_neo,data,unloading,70.82,,90,36.00,3,
,kobra2_neo,data,unloading,68.40,,90,36.00,3,
,kobra2_neo,data,unloading,65.98,,90,36.00,3,
,kobra2_neo,data,unloading,63.57,,90,36.00,3,
,kobra2_neo,data,unloading,61.15,,90,36.00,3,

# MODE B, spring scale. Backup rig: no pulley needed, but the pull is
# horizontal while the scale weighs vertically, so it is awkward in-plane
# and less repeatable than the dead-weight rig. Prefer mode A.
# T = F * r * sin(pull_angle_from_lever_deg); pull perpendicular if you can.
# The loading/unloading gap is hysteresis plus any rig friction.
